,,,,,,,,,,,25 Nov - 24 Dec 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 Nov - 24 Dec 2025,,,
,,"FUEL
COST",,"CHARTER
RATE",,"MOB /
DEMOB",,"TOTAL
COST",PCT,,"BOAT
HOURS",PCT,,,,,,,,,,,,,,,,,,,,"FUEL
COST",,"CHARTER
RATE",,"MOB /
DEMOB",,"TOTAL
COST",PCT,,"BOAT
HOURS",PCT,,
,,,,,,,,,,,Logistics Cost Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics Cost Sharing,,,
RUN EXPLOSIVE,,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,RUN EXPLOSIVE,,0,,0,,0,,0,0,,0,0,,
ASSET,,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,ASSET,,0,,0,,0,,0,0,,0,0,,
TIRTA RAJAWALI,,128396.57803869841,,126759.82496556833,,0,,255156.40300426673,0.7111305881022428,,2113.9333333333334,0.7606265592016888,,,,,,,,,,,,,,,,,,TIRTA RAJAWALI,,2022426547.5,,1997541666.6666665,,0,,4019968214.1666665,0.7112279463366775,,2113.9333333333334,0.7606265592016888,,
S: SLICKLINE UNIT,,24122.51365390185,,21379.19173181242,,0,,45501.705385714275,0.12681498143731434,,292,0.10506620610247554,,,,,,,,,,,,,,,,,,S: SLICKLINE UNIT,,379907216.66666657,,336975000,,0,,716882216.6666665,0.1268335070233417,,292,0.10506620610247554,,
N: SLICKLINE (1),,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,N: SLICKLINE (1),,0,,0,,0,,0,0,,0,0,,
LAIN-LAIN,,7362.515196109795,,4446.861603429522,,0,,11809.376799539317,0.03291318175713954,,56,0.020149683362118597,,,,,,,,,,,,,,,,,,LAIN-LAIN,,115068750,,69500000,,0,,184568750,0.03265459974479918,,56,0.020149683362118597,,
SOIL BORING,,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,SOIL BORING,,0,,0,,0,,0,0,,0,0,,
"N: SLICKLINE
(2)",,23722.987583072827,,22613.391486978908,,0,,46336.379070051735,0.12914124870330349,,317.26666666666665,0.11415755133371713,,,,,,,,,,,,,,,,,,"N: SLICKLINE
(2)",,374087474.4444445,,356644999.9999999,,0,,730732474.4444444,0.1292839468951815,,317.26666666666665,0.11415755133371713,,
DEBRIS SURVEY,,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,DEBRIS SURVEY,,0,,0,,0,,0,0,,0,0,,
"STORK
(WLI)",,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,"STORK
(WLI)",,0,,0,,0,,0,0,,0,0,,
-,,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,-,,0,,0,,0,,0,0,,0,0,,
-,,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,-,,0,,0,,0,,0,0,,0,0,,
-,,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,-,,0,,0,,0,,0,0,,0,0,,
TOTAL COST,,183604.59447178288,,175199.26978778918,,0,,358803.864259572,1.0000000000000002,,2779.2,1,,,,,,,,,,,,,,,,,,TOTAL COST,,2891489988.611111,,2760661666.6666665,,0,,5652151655.277778,1,,2779.2,1,,
,,,,Summary,,,,"Daily Boat Cost Distribution to Rigs, WO Barges & Units",,,,,,D&C Boat Cost Analysis,,,,,,,,,,,,,,,,,,,,Summary,,,,"Daily Boat Cost Distribution to Rigs, WO Barges & Units",,,,,,D&C Boat Cost Analysis
25 Nov - 24 Dec 2025,,Fuel (liter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN EXPLOSIVE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSET,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIRTA RAJAWALI,,125227.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S: SLICKLINE UNIT,,23523.666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N: SLICKLINE (1),,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAIN-LAIN,,7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOIL BORING,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N: SLICKLINE
(2)",,23163.311111111114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBRIS SURVEY,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"STORK
(WLI)",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL (liter),,179039.62777777776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
